url,equipo,valor_mercado,ataque,tecnica,velocidad,defensa,creatividad,liga,partidos,valoracion_media
https://www.sofascore.com/football/player/ivan-schranz/123179,SK Slavia Praha,1.8M €,61,54,47,37,46,Chance Liga,20 Appearances,6.93
https://www.sofascore.com/football/player/ricardo-rodriguez/67769,Real Betis,2.7M €,42,51,59,68,51,LaLiga,17 Appearances,6.97
https://www.sofascore.com/football/player/jose-marsa/962625,KV Mechelen,2.1M €,41,49,48,59,47,Pro League,37 Appearances,6.89
https://www.sofascore.com/football/player/taylor-booth/906024,FC Twente,2.1M €,51,42,25,31,48,Eredivisie,13 Appearances,6.59
https://www.sofascore.com/football/player/cambiaghi-nicolo/971005,Bologna,7.7M €,66,52,54,38,57,Serie A,18 Appearances,6.98
https://www.sofascore.com/football/player/konstantinos-lykourinos/1893438,NPS Volos,,,,,,,Stoiximan Super League,,
https://www.sofascore.com/football/player/felici-mattia/975811,Cagliari,3.1M €,57,46,28,36,57,Serie A,20 Appearances,6.63
https://www.sofascore.com/football/player/youssef-hamdaoui/1590946,Royal Antwerp U23,,,,,,,Nationale 1,,
https://www.sofascore.com/football/player/tunahan-akpinar/1651324,Bodrum FK,52K €,,,,,,Trendyol Süper Lig,,
https://www.sofascore.com/football/player/nikolas-polster/962268,Wolfsberger AC,2.6M €,60,49,58,60,57,Austrian Bundesliga,30 Appearances,7.03
https://www.sofascore.com/football/player/shio-fukuda/1493496,Borussia M'gladbach,480K €,,,,,,Bundesliga,,
https://www.sofascore.com/football/player/filip-majchrowicz/926007,Górnik Zabrze,315K €,,,,,,Ekstraklasa,12 Appearances,7.00
https://www.sofascore.com/football/player/kacper-lukasiak/1127202,GKS Katowice,490K €,45,46,39,47,48,Ekstraklasa,30 Appearances,6.82
https://www.sofascore.com/football/player/craig-sibbald/164297,Dundee United,330K €,50,53,53,53,47,Scottish Premiership,16 Appearances,6.74
https://www.sofascore.com/football/player/samuel-gresko/2124752,FK Železiarne Podbrezová,,,,,,,Niké Liga,,
https://www.sofascore.com/football/player/dennis-owusu/1083998,Baník Ostrava,195K €,,,,,,Chance Liga,,
https://www.sofascore.com/football/player/giorgos-malekkidis/801925,Apollon Limassol,580K €,45,61,46,52,45,Cyprus League by Stoiximan,26 Appearances,7.00
https://www.sofascore.com/football/player/oskar-lachowicz/1628422,Cracovia,47K €,,,,,,Ekstraklasa,,
https://www.sofascore.com/football/player/artem-dzyuba/19367,Akron Togliatti,1.5M €,74,52,53,26,60,Russian Premier League,22 Appearances,7.49
https://www.sofascore.com/football/player/jesus-vazquez/996929,Valencia,3.2M €,38,48,46,63,43,LaLiga,17 Appearances,6.71
https://www.sofascore.com/football/player/zawieschitzky-christian/1474199,Red Bull Salzburg,310K €,43,44,31,49,48,Austrian Bundesliga,14 Appearances,6.82
https://www.sofascore.com/football/player/uros-lazic/1104742,FK Napredak Kruševac,290K €,39,46,43,55,44,Mozzart Bet Superliga,19 Appearances,6.74
https://www.sofascore.com/football/player/mark-gillespie/108508,Newcastle United,205K €,,,,,,Premier League,,
https://www.sofascore.com/football/player/vlad-moraru/1386366,ACS Sticla Arieşul Turda,53K €,,,,,,Liga 4 Cluj,,
https://www.sofascore.com/football/player/rostyslav-taranukha/836639,Obolon Kyiv,325K €,56,52,44,30,37,Ukrainian Premier League,24 Appearances,6.76
https://www.sofascore.com/football/player/ivan-perisic/38710,PSV Eindhoven,1.5M €,72,67,58,38,70,Eredivisie,27 Appearances,7.53
https://www.sofascore.com/football/player/david-douline/308042,Servette FC,415K €,48,51,56,68,47,Swiss Super League,20 Appearances,7.14
https://www.sofascore.com/football/player/cesar-huerta/905257,RSC Anderlecht,6.4M €,64,59,46,36,59,Pro League,17 Appearances,7.05
https://www.sofascore.com/football/player/de-medina-nathan/356310,FK Partizan,190K €,,,,,,Mozzart Bet Superliga,,
https://www.sofascore.com/football/player/konstantin-maradishvili/957547,Pari Nizhny Novgorod,460K €,,,,,,Russian Premier League,,
https://www.sofascore.com/football/player/patrick-pentz/788319,Brøndby IF,2.7M €,55,43,55,70,61,Danish Superliga,30 Appearances,6.99
https://www.sofascore.com/football/player/noah-mbamba/1100321,FCV Dender,1.4M €,,,,,,Pro League,8 Appearances,6.69
https://www.sofascore.com/football/player/odilon-kossounou/973437,Atalanta,26M €,37,45,57,65,46,Serie A,17 Appearances,6.80
https://www.sofascore.com/football/player/erkan-degismez/130493,Bodrum FK,24K €,,,,,,Trendyol Süper Lig,,
https://www.sofascore.com/football/player/pablo-torre/1082981,Barcelona,5.8M €,,,,,,LaLiga,9 Appearances,7.09
https://www.sofascore.com/football/player/stipe-biuk/965019,HNK Hajduk Split,2.7M €,53,60,30,34,49,HNL,17 Appearances,6.88
https://www.sofascore.com/football/player/rochinha/352874,Famalicão,930K €,48,36,31,33,51,Liga Portugal Betclic,22 Appearances,6.56
